"name","symbol","trading_name","isin"
"Morabaha Marina Financing Co.","4082","MRNA","SA15QG71VP17"
"Mouwasat Medical Services Co.","4002","MOUWASAT","SA12C051UH11"
"Mulkia Gulf Real Estate REIT","4336","MULKIA REIT","SA14CG523O51"
"Musharaka REIT Fund","4335","MUSHARAKA REIT","SA14BG523NL8"
"Nahdi Medical Co.","4164","NAHDI","SA15HG521213"
"Najran Cement Co.","3002","NAJRAN CEMENT","SA132051ET14"
"Nama Chemicals Co.","2210","NAMA CHEMICALS","SA0007879386"
"Naqi Water Co.","2282","NAQI","SA15JH2H3L19"
"Naseej International Trading Co.","1213","NASEEJ","SA12GGDGIUH9"
"National Agricultural Development Co.","6010","NADEC","SA0007879568"
"National Company for Learning and Education","4291","NCLE","SA14L09I31H9"
"National Gas and Industrialization Co.","2080","GASCO","SA0007879196"
"National Gypsum Co.","2090","NGC","SA0007879204"
"National Industrialization Co.","2060","TASNEE","SA0007879170"
"National Medical Care Co.","4005","CARE","SA139051UIH0"
"National Metal Manufacturing and Casting Co.","2220","MAADANIYAH","SA0007879394"
"National Shipping Company of Saudi Arabia","4030","BAHRI","SA0007870054"
"Nayifat Finance Co.","4081","NAYIFAT","SA15DGH1VOH4"
"Northern Region Cement Co.","3004","NORTHERN CEMENT","SA136051EU12"
"Perfect Presentation for Commercial Services Co.","7204","2P","SA15LISJGI11"
"Qassim Cement Co.","3040","QACCO","SA0007879493"
"Rabigh Refining and Petrochemical Co.","2380","PETRO RABIGH","SA120GAH5617"
"Rasan Information Technology Co.","8313","RASAN","SA162GIK1SH5"
"Raydan Food Co.","6012","RAYDAN","SA14TG92TU17"
"Red Sea International Co.","4230","RED SEA","SA000A0KEWM4"
"Retal Urban Development Co.","4322","RETAL","SA15J1S23H17"
"Riyad Bank","1010","RIBL","SA0007879048"
"Riyad REIT Fund","4330","RIYAD REIT","SA145G523L57"
"Riyadh Cables Group Co.","4142","RIYADH CABLES","SA15LGLI0N19"
"Riyadh Cement Co.","3092","RIYADH CEMENT","SA15TGH1GA14"
"SABIC Agri-Nutrients Co.","2020","SABIC AGRI-NUTRIENTS","SA0007879139"
"Sadr Logistics Co.","1832","SADR","SA1563RGSK16"
"Sahara International Petrochemical Co.","2310","SIPCHEM","SA000A0KFKK0"
"SAL Saudi Logistics Services Co.","4263","SAL","SA15T1L22JH8"
"Salama Cooperative Insurance Co.","8050","SALAMA","SA000A0MLUE6"
"Saudi Advanced Industries Co.","2120","SAIC","SA0007879246"
"Saudi Arabia Refineries Co.","2030","SARCO","SA0007879147"
"Saudi Arabian Amiantit Co.","2160","AMIANTIT","SA0007879337"
